Zürich-Kaserne
Messstation Nr.:  16
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  7 WIRI           -  °         28- 37   Windrichtung
  6 WIGE           -  m/s       18- 27   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 15 10 00 181.5123 1.4229
2013 01 15 11 00 277.1791 0.9320
2013 01 15 12 00 162.6170 1.5245
2013 01 15 13 00 150.9870 2.4755
2013 01 15 14 00 157.4126 2.1828
2013 01 15 15 00 213.3391 1.8283
2013 01 15 16 00 227.4915 1.2502
2013 01 15 17 00 279.4200 0.8924
2013 01 15 18 00 259.2484 0.8291
2013 01 15 19 00 254.1117 1.5974
2013 01 15 20 00 220.6624 1.2914
2013 01 15 21 00 164.7592 2.1778
2013 01 15 22 00 175.4564 2.6916
2013 01 15 23 00 207.7357 2.4156
2013 01 15 24 00 243.2410 2.7276
2013 01 16 01 00 259.3756 2.8418
2013 01 16 02 00 257.5583 2.6145
2013 01 16 03 00 268.0779 2.0050
2013 01 16 04 00 257.1282 2.7952
2013 01 16 05 00 264.7692 3.2155
2013 01 16 06 00 273.7826 2.0693
2013 01 16 07 00 283.7451 2.5469
2013 01 16 08 00 287.7059 3.2317
2013 01 16 09 00 293.6362 3.0044
2013 01 16 10 00 315.3989 2.6590
2013 01 16 11 00 318.6119 2.1110
2013 01 16 12 00 310.1316 1.4512
2013 01 16 13 00 308.3700 2.0058
2013 01 16 14 00 318.5360 1.4819
2013 01 16 15 00 346.1409 1.5019
2013 01 16 16 00 9.1767 1.1670
2013 01 16 17 00 3.0784 1.3310
2013 01 16 18 00 10.0646 1.4675
2013 01 16 19 00 332.9319 1.7410
2013 01 16 20 00 334.8595 1.8211
2013 01 16 21 00 343.8142 2.1098
2013 01 16 22 00 342.8912 1.9616
2013 01 16 23 00 339.8021 1.8322
2013 01 16 24 00 331.0882 1.9304
2013 01 17 01 00 319.8096 2.1125
