Lausanne-César-Roux
Messstation Nr.:   9
MW1                vom 01.01.2013  00:10 Uhr
                   bis 31.12.2013  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  °         18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2013 01 09 03 00 190.7802 0.4931
2013 01 09 04 00 116.2147 0.4818
2013 01 09 05 00 162.7116 0.7914
2013 01 09 06 00 114.0399 0.7961
2013 01 09 07 00 169.4207 0.4903
2013 01 09 08 00 117.3379 0.6236
2013 01 09 09 00 124.4359 0.8383
2013 01 09 10 00 207.8312 0.8040
2013 01 09 11 00 268.4781 1.0042
2013 01 09 12 00 274.0606 0.7950
2013 01 09 13 00 219.8928 0.8190
2013 01 09 14 00 247.3335 0.9674
2013 01 09 15 00 247.5430 0.8883
2013 01 09 16 00 259.9908 0.9717
2013 01 09 17 00 265.3807 0.7444
2013 01 09 18 00 235.5962 0.5969
2013 01 09 19 00 135.6197 0.6017
2013 01 09 20 00 128.8699 0.5435
2013 01 09 21 00 154.4084 0.7244
2013 01 09 22 00 129.7920 0.7050
2013 01 09 23 00 122.4104 0.6551
2013 01 09 24 00 103.7621 0.8719
2013 01 10 01 00 126.4510 0.7279
2013 01 10 02 00 265.7382 0.7785
2013 01 10 03 00 284.2365 0.6453
2013 01 10 04 00 266.2267 0.5669
2013 01 10 05 00 279.1002 1.2550
2013 01 10 06 00 287.9052 0.6924
2013 01 10 07 00 268.6391 1.0150
2013 01 10 08 00 282.5128 1.4681
2013 01 10 09 00 280.5270 1.2039
2013 01 10 10 00 280.6369 1.1842
2013 01 10 11 00 274.1694 1.1938
2013 01 10 12 00 278.9727 1.2979
2013 01 10 13 00 281.2454 1.8404
2013 01 10 14 00 279.9101 1.8389
2013 01 10 15 00 276.0287 1.7756
2013 01 10 16 00 277.7605 1.8731
2013 01 10 17 00 279.7729 1.5707
2013 01 10 18 00 279.4584 1.2274
2013 01 10 19 00 282.8597 1.6206
2013 01 10 20 00 271.9563 1.5437
2013 01 10 21 00 275.8156 1.9649
2013 01 10 22 00 275.8330 2.2543
2013 01 10 23 00 278.5602 2.1958
2013 01 10 24 00 279.4190 1.9050
2013 01 11 01 00 275.0314 1.4664
2013 01 11 02 00 287.5987 1.5547
2013 01 11 03 00 275.5803 1.0610
2013 01 11 04 00 279.2051 1.4454
2013 01 11 05 00 277.7244 1.5636
2013 01 11 06 00 277.6009 1.9011
2013 01 11 07 00 257.5509 1.1368
2013 01 11 08 00 262.2870 1.6808
2013 01 11 09 00 278.7230 1.9299
2013 01 11 10 00 281.2802 1.8460
2013 01 11 11 00 283.5320 1.6668
2013 01 11 12 00 279.9147 2.0196
2013 01 11 13 00 286.0088 1.8940
2013 01 11 14 00 275.9999 2.3782
2013 01 11 15 00 276.7291 2.0247
2013 01 11 16 00 286.0445 2.0881
2013 01 11 17 00 279.7270 1.8179
2013 01 11 18 00 278.9883 2.1825
2013 01 11 19 00 271.3873 2.3525
2013 01 11 20 00 301.7339 1.3858
2013 01 11 21 00 289.8194 1.0339
2013 01 11 22 00 279.5419 2.2532
2013 01 11 23 00 279.2186 2.2578
2013 01 11 24 00 281.8287 2.4804
2013 01 12 01 00 291.6904 1.8383
2013 01 12 02 00 294.2720 0.8182
2013 01 12 03 00 285.1837 1.3033
2013 01 12 04 00 290.1539 1.0301
2013 01 12 05 00 305.8655 0.3578
2013 01 12 06 00 271.5231 0.6250
2013 01 12 07 00 81.5923 0.8483
2013 01 12 08 00 77.3581 0.8056
2013 01 12 09 00 84.0838 0.9694
2013 01 12 10 00 117.6531 0.6204
2013 01 12 11 00 248.6219 0.4464
2013 01 12 12 00 264.8959 1.7475
2013 01 12 13 00 274.9806 1.5639
2013 01 12 14 00 236.2876 1.1463
2013 01 12 15 00 187.5301 0.9819
2013 01 12 16 00 228.0630 0.8533
2013 01 12 17 00 126.1381 0.7732
2013 01 12 18 00 123.2237 0.8735
2013 01 12 19 00 132.1684 0.8268
2013 01 12 20 00 131.4945 0.7554
2013 01 12 21 00 135.9189 0.3097
2013 01 12 22 00 311.5927 0.2954
2013 01 12 23 00 111.0117 0.4187
2013 01 12 24 00 111.9996 0.9094
2013 01 13 01 00 94.5622 0.8900
2013 01 13 02 00 117.1426 0.6274
2013 01 13 03 00 308.2621 0.3442
2013 01 13 04 00 130.5886 0.4679
2013 01 13 05 00 128.1041 0.6272
2013 01 13 06 00 101.2300 0.4228
2013 01 13 07 00 140.9617 0.4171
2013 01 13 08 00 129.5906 0.6701
2013 01 13 09 00 318.1663 0.4419
2013 01 13 10 00 72.4671 0.5149
2013 01 13 11 00 330.6584 0.7526
2013 01 13 12 00 116.4754 0.6910
2013 01 13 13 00 306.3441 0.7696
2013 01 13 14 00 148.1396 0.9036
2013 01 13 15 00 340.4900 1.1960
2013 01 13 16 00 136.5754 0.9700
2013 01 13 17 00 312.0590 0.8760
2013 01 13 18 00 208.9410 0.5667
2013 01 13 19 00 323.8822 0.8306
2013 01 13 20 00 332.5307 1.1882
2013 01 13 21 00 83.3310 0.9214
2013 01 13 22 00 351.0598 0.6129
2013 01 13 23 00 318.4987 0.6494
2013 01 13 24 00 135.2054 0.5235
2013 01 14 01 00 134.5555 0.5592
2013 01 14 02 00 54.0826 0.6757
2013 01 14 03 00 107.8531 0.6106
2013 01 14 04 00 109.2542 0.7029
2013 01 14 05 00 293.2467 0.2071
2013 01 14 06 00 105.6097 0.6564
2013 01 14 07 00 88.7955 0.5793
2013 01 14 08 00 325.9199 0.6375
2013 01 14 09 00 335.4798 1.1332
2013 01 14 10 00 329.8252 1.5290
2013 01 14 11 00 332.2880 1.5594
2013 01 14 12 00 323.9958 1.8535
2013 01 14 13 00 315.8698 1.5751
2013 01 14 14 00 313.6899 1.4743
2013 01 14 15 00 322.5444 1.2399
2013 01 14 16 00 328.9140 1.1457
2013 01 14 17 00 328.1203 1.3146
2013 01 14 18 00 328.7224 1.7751
2013 01 14 19 00 331.0899 1.5146
2013 01 14 20 00 321.1023 1.0482
2013 01 14 21 00 326.2169 0.6994
2013 01 14 22 00 322.2875 0.6292
2013 01 14 23 00 355.5009 0.3825
2013 01 14 24 00 270.5138 0.9068
2013 01 15 01 00 271.1982 2.2514
2013 01 15 02 00 274.8179 2.8357
2013 01 15 03 00 276.6580 2.8033
2013 01 15 04 00 268.4959 2.6112
2013 01 15 05 00 277.3265 3.3100
2013 01 15 06 00 275.6086 2.9425
2013 01 15 07 00 278.3027 2.7183
2013 01 15 08 00 278.5784 3.2196
2013 01 15 09 00 278.3894 2.9976
2013 01 15 10 00 281.3568 2.0110
2013 01 15 11 00 271.8875 1.5901
2013 01 15 12 00 277.8320 2.2326
2013 01 15 13 00 270.5067 1.9025
2013 01 15 14 00 265.2685 1.8297
2013 01 15 15 00 273.8692 2.6813
2013 01 15 16 00 278.1758 2.8232
2013 01 15 17 00 275.7073 2.3511
2013 01 15 18 00 276.0379 2.2556
2013 01 15 19 00 280.1666 1.8693
2013 01 15 20 00 284.7121 2.9850
2013 01 15 21 00 275.7368 2.2331
2013 01 15 22 00 282.5409 2.3642
2013 01 15 23 00 275.5067 2.8167
2013 01 15 24 00 277.9066 2.4314
2013 01 16 01 00 285.5130 1.8212
2013 01 16 02 00 293.8534 1.2744
2013 01 16 03 00 324.5703 1.1732
2013 01 16 04 00 334.8882 1.6024
2013 01 16 05 00 333.8954 1.3864
2013 01 16 06 00 342.2669 0.7569
2013 01 16 07 00 53.4163 0.4533
2013 01 16 08 00 347.7097 0.2660
2013 01 16 09 00 30.5783 0.2882
2013 01 16 10 00 293.5616 0.6961
2013 01 16 11 00 322.6312 0.6428
2013 01 16 12 00 257.5035 0.6894
2013 01 16 13 00 229.4117 1.0376
2013 01 16 14 00 278.8798 1.1800
2013 01 16 15 00 41.4161 0.9268
2013 01 16 16 00 100.8192 1.1540
2013 01 16 17 00 300.2002 0.9675
2013 01 16 18 00 320.7924 1.2033
2013 01 16 19 00 313.1998 1.0081
2013 01 16 20 00 318.7539 1.1236
2013 01 16 21 00 307.0386 1.1043
2013 01 16 22 00 329.1652 1.6488
2013 01 16 23 00 326.0924 1.6424
2013 01 16 24 00 320.7361 1.9196
2013 01 17 01 00 317.5056 2.1744
2013 01 17 02 00 281.7178 2.9100
2013 01 17 03 00 307.0379 2.3303
2013 01 17 04 00 310.1521 2.0767
2013 01 17 05 00 282.4714 2.7760
2013 01 17 06 00 254.5773 2.2562
2013 01 17 07 00 293.3608 1.4418
2013 01 17 08 00 317.0193 1.6679
